time,open,high,low,close,Daily VWAP,Weekly VWAP,Monthly VWAP,Down Fractal,Up Fractal,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1992-10-01,5420,6415,5400,6199,NaN,NaN,NaN,0,0,0,74.14571298838392,74.40330823780448,NaN,NaN,NaN,NaN
1992-11-02,6190,6455,5635,5742,NaN,NaN,NaN,1,0,0,65.16517843516505,74.3669617837193,NaN,NaN,NaN,NaN
1992-12-01,5640,5640,4860,5480,NaN,NaN,NaN,0,1,0,60.63117444677541,73.93469182378723,60.63117444677541,NaN,NaN,NaN
1993-01-01,5475,5950,5425,5721,NaN,NaN,NaN,0,0,0,63.16964783661724,73.59752939214638,NaN,NaN,NaN,NaN
1993-02-01,5830,6405,5610,6392,NaN,NaN,NaN,0,0,0,69.13661759612886,73.52463174362417,NaN,NaN,NaN,NaN
1993-03-01,6370,6560,5640,6363,NaN,NaN,NaN,0,0,0,68.61918512059664,73.06734542615952,NaN,NaN,NaN,NaN
1993-04-01,6360,6930,6220,6815,NaN,NaN,NaN,0,0,0,72.1213917354981,72.65995372356699,NaN,NaN,NaN,NaN
1993-05-03,6765,7550,6700,7450,NaN,NaN,NaN,1,0,0,76.14865797232007,72.52356916118931,NaN,NaN,NaN,NaN
1993-06-01,7330,7448,6860,7112,NaN,NaN,NaN,0,0,0,70.32523788765641,71.71666711523255,NaN,NaN,NaN,NaN
1993-07-01,7145,7390,6730,6972,NaN,NaN,NaN,0,0,0,68.0054121526838,70.40323786295846,68.0054121526838,NaN,NaN,NaN
1993-08-02,7000,7560,6995,7460,NaN,NaN,NaN,0,0,0,71.53072041760318,69.47278138325193,NaN,NaN,NaN,NaN
1993-09-01,7500,7635,7300,7608,NaN,NaN,NaN,0,0,0,72.5196588960672,69.17522328048607,NaN,NaN,NaN,NaN
1993-10-01,7615,9525,7615,9525,NaN,NaN,NaN,0,0,0,81.48910042723399,70.01586356962387,NaN,NaN,NaN,NaN
1993-11-01,9700,9950,8820,9200,NaN,NaN,NaN,0,0,0,76.9060989434453,70.70812820401252,NaN,NaN,NaN,NaN
1993-12-01,9245,12050,9080,11960,NaN,NaN,NaN,0,0,0,84.74998348871824,71.46557609689356,NaN,NaN,84.74998348871824,84.74998348871824
1994-01-03,11960,12785,10250,11620,NaN,NaN,NaN,1,0,0,81.09582880999712,72.60347969509584,NaN,NaN,NaN,NaN
1994-02-01,11700,12355,9920,10455,NaN,NaN,NaN,0,0,0,69.96428507393618,73.27013045417876,NaN,NaN,NaN,NaN
1994-03-01,10450,10450,8540,8975,NaN,NaN,NaN,0,0,0,58.902803089515906,72.9653558293858,NaN,NaN,NaN,NaN
1994-04-01,9180,9980,8880,8930,NaN,NaN,NaN,0,0,0,58.59943782868408,72.21270013171117,NaN,NaN,NaN,NaN
1994-05-02,8990,9755,8240,9640,NaN,NaN,NaN,0,1,0,61.930886782747805,71.73496453615054,NaN,NaN,NaN,NaN
1994-06-01,9600,9675,8510,8690,NaN,NaN,NaN,0,0,0,55.496031386801945,70.54743879695795,NaN,NaN,NaN,NaN
1994-07-01,8610,9560,8300,9530,NaN,NaN,NaN,0,0,0,59.50282175343753,69.3584504956092,NaN,NaN,NaN,NaN
1994-08-01,9680,10000,9120,9990,NaN,NaN,NaN,0,0,0,61.544644063141526,68.73126522242957,NaN,NaN,NaN,NaN
1994-09-01,9920,10280,9450,9455,NaN,NaN,NaN,1,0,0,57.88895282051885,68.00866098441779,NaN,NaN,NaN,NaN
1994-10-03,9425,9670,9155,9650,NaN,NaN,NaN,0,0,0,58.84842247800094,67.10278256016048,NaN,NaN,NaN,NaN
1994-11-01,9580,9660,8310,8435,NaN,NaN,NaN,0,0,0,51.044538010131475,65.5688453540222,NaN,NaN,NaN,NaN
1994-12-01,8460,8545,7635,8150,NaN,NaN,NaN,0,0,0,49.39003115308598,63.27605469158306,NaN,NaN,NaN,NaN
1995-01-02,8140,8140,6850,7390,NaN,NaN,NaN,0,1,0,45.18413378821197,61.01020003763783,45.18413378821197,NaN,NaN,NaN
1995-02-01,7480,8365,7460,8260,NaN,NaN,NaN,0,0,0,50.392017511836464,58.556059610717696,NaN,NaN,NaN,NaN
1995-03-01,8260,8865,7845,8555,NaN,NaN,NaN,0,0,0,52.0553630552495,56.48174062823573,NaN,NaN,NaN,NaN
1995-04-03,8445,8750,8160,8325,NaN,NaN,NaN,0,0,0,50.629987720370025,55.10071938869528,NaN,NaN,NaN,NaN
1995-05-01,8325,9533,8085,9475,NaN,NaN,NaN,0,0,0,56.97381420295165,54.96293446822641,NaN,NaN,NaN,NaN
1995-06-01,9690,9750,9095,9250,NaN,NaN,NaN,0,0,0,55.471949365825786,54.739542435165106,NaN,NaN,NaN,NaN
1995-07-03,9255,9910,9120,9458,NaN,NaN,NaN,1,0,0,56.61063629624507,54.35952454327206,NaN,NaN,NaN,NaN
1995-08-01,9440,9500,8740,9135,NaN,NaN,NaN,0,1,0,54.28893755273023,54.27330355512408,NaN,NaN,NaN,NaN
1995-09-01,9140,9870,9105,9658,NaN,NaN,NaN,0,0,0,57.33974715792552,54.11879822687322,NaN,NaN,NaN,NaN
1995-10-02,9640,10150,9630,9800,NaN,NaN,NaN,0,0,0,58.156320126622695,53.87677508855045,NaN,NaN,NaN,NaN
1995-11-01,9820,9900,9245,9890,NaN,NaN,NaN,0,0,0,58.69595867954243,53.934418364195,NaN,NaN,NaN,NaN
1995-12-01,9840,10155,9640,10140,NaN,NaN,NaN,0,0,0,60.23025106636899,54.03312040622128,NaN,NaN,NaN,NaN
1996-01-01,10160,11500,10155,11400,NaN,NaN,NaN,0,0,0,66.90318731071865,55.16588107054893,NaN,NaN,66.90318731071865,NaN
1996-02-01,11365,11685,11020,11080,NaN,NaN,NaN,1,0,0,63.967643315569084,56.20713908215487,NaN,NaN,NaN,NaN
1996-03-01,11030,11510,10200,10920,NaN,NaN,NaN,0,0,0,62.49120478458515,57.44335843903866,NaN,NaN,NaN,NaN
1996-04-01,10940,11250,10748,10948,NaN,NaN,NaN,0,0,0,62.6536570726443,58.319189836239225,NaN,NaN,NaN,NaN
1996-05-01,10935,11360,10560,11325,NaN,NaN,NaN,0,0,0,64.86042768278332,59.233837309634495,NaN,NaN,NaN,NaN
