,Liv-ex 100,wine_12m_ret,Predicted_12M_Return,Signal,Strategy_Return,Cum_Strategy,Cum_BuyHold
2019-05-31,308.01,-0.0161625195643146,,0,-0.0,1.0,79706.43044439505
2019-06-30,309.22,-0.0233718653275218,,0,-0.0,1.0,77843.54248631117
2019-07-31,310.07,-0.0139917957197825,,0,-0.0,1.0,76754.3715417385
2019-08-31,312.37,-0.0114247737198557,,0,-0.0,1.0,75877.4702148644
2019-09-30,311.35,-0.015494071146245,,0,-0.0,1.0,74701.8192929582
2019-10-31,308.37,-0.0177422437408422,,0,-0.0,1.0,73376.44140717818
2019-11-30,304.42,-0.0285604876025146,,0,-0.0,1.0,71280.77446205182
2019-12-31,302.56,-0.030411792981894,,0,-0.0,1.0,69112.99830552282
2020-01-31,301.88,-0.0323738701198795,,0,-0.0,1.0,66875.54307478438
2020-02-29,302.56,-0.0232438016528925,,0,-0.0,1.0,65321.10121612462
2020-03-31,299.36,-0.0312914603760151,,0,-0.0,1.0,63277.10856570258
2020-04-30,298.46,-0.0326386412990632,,0,-0.0,1.0,61211.829716784734
2020-05-31,296.25,-0.0381805785526443,,0,-0.0,1.0,58874.72664393194
2020-06-30,299.65,-0.0309488390142942,,0,-0.0,1.0,57052.622207018314
2020-07-31,302.15,-0.0255426194085207,,0,-0.0,1.0,55595.348791726334
2020-08-31,306.06,-0.020200403367801,,0,-0.0,1.0,54472.300320759874
2020-09-30,310.39,-0.0030833467159147,,0,-0.0,1.0,54304.34333245754
2020-10-31,313.99,0.0182248597464085,,0,0.0,1.0,55294.032373312395
2020-11-30,316.63,0.0401090598515208,,0,0.0,1.0,57511.82402720551
2020-12-31,318.99,0.0543032786885246,,0,0.0,1.0,60634.904635240244
2021-01-31,320.88,0.0629389161256128,,0,0.0,1.0,64451.19981236217
2021-02-28,322.67,0.0664661554732946,,0,0.0,1.0,68735.023279531
2021-03-31,327.91,0.095370122928915,,0,0.0,1.0,75290.29089922171
2021-04-30,332.86,0.1152583260738457,0.247433130778629,1,0.0,1.0,83968.12379787891
2021-05-31,335.25,0.1316455696202532,0.2328928603922581,1,0.1316455696202532,1.1316455696202532,95022.15528519462
2021-06-30,337.8,0.1273152010679126,0.2328928603922581,1,0.1273152010679126,1.2757212528540682,107119.92009123559
2021-07-31,346.57,0.1470130729769982,0.2328928603922581,1,0.1470130729769982,1.4632689544982111,122867.94872089862
2021-08-31,350.93,0.1466052408024569,0.2328928603922581,1,0.1466052408024569,1.6777918519311807,140881.0339300299
2021-09-30,364.44,0.1741357646831405,0.2328928603922581,1,0.1741357646831405,1.9699554190463593,165413.46050278711
2021-10-31,372.44,0.1861524252364723,0.2328928603922581,1,0.1861524252364723,2.3366673979095705,196205.57734213836
2021-11-30,382.59,0.2083188579730284,0.2328928603922581,1,0.2083188579730284,2.8234392817049003,237078.89914199134
2021-12-31,392.52,0.2305087933791028,0.2328928603922581,1,0.2305087933791028,3.4742668637098575,291727.67011885776
2022-01-31,399.84,0.2460732984293192,0.2487753903006644,1,0.2460732984293192,4.329191170486628,363514.06014810543
2022-02-28,401.41,0.2440264046859019,0.2446754923719011,1,0.2440264046859019,5.385628127018432,452221.08929882233
2022-03-31,404.02,0.2321063706504831,0.2453904080535809,1,0.2321063706504831,6.635666725253839,557184.48506758
2022-04-30,406.82,0.2221955176350416,0.2385276589126104,1,0.2221955176350416,8.110082128125237,680988.380145385
2022-05-31,409.69,0.2220432513049963,0.1989116785861588,1,0.2220432513049963,9.910871132204708,832197.2541737892
2022-06-30,412.53,0.2212255772646534,0.1998694780338708,1,0.2212255772646534,12.103409319622283,1016300.5721264452
2022-07-31,411.23,0.1865712554462302,0.1985557258446985,1,0.1865712554462302,14.361557591563816,1205913.0457787982
2022-08-31,416.61,0.187159832445217,0.1985557258446985,1,0.187159832445217,17.049464304053235,1431611.5293702595
2022-09-30,424.35,0.1643891998682911,0.1985988444710405,1,0.1643891998682911,19.852212099179535,1666953.003205657
2022-10-31,422.06,0.1332295134786811,0.1985988444710405,1,0.1332295134786811,22.49711265862881,1889040.3408145732
2022-11-30,420.51,0.0991139339763194,0.1985988444710405,1,0.0991139339763194,24.726889997333966,2076270.5604326727
2022-12-31,419.64,0.0690920207887495,0.2031152008835392,1,0.0690920207887495,26.435320795070886,2219724.2891571554
2023-01-31,413.82,0.0349639855942376,0.2161010806288663,1,0.0349639855942376,27.359604970528796,2297334.6972264256
2023-02-28,415.2,0.0343539024937096,0.215562872455147,1,0.0343539024937096,28.299514171952755,2376257.109410358
2023-03-31,416.07,0.0298252561754368,0.2162202809692204,1,0.0298252561754368,29.14355443177165,2447129.5864372253
2023-04-30,414.04,0.0177474067155007,0.2031152008835392,1,0.0177474067155007,29.660776945407637,2490559.790493262
2023-05-31,405.68,-0.0097878884034269,0.2031152008835392,1,-0.0097878884034269,29.37046057070705,2466182.4692018516
2023-06-30,393.82,-0.0453542772646837,0.2031152008835392,1,-0.0453542772646837,28.038384558591744,2354330.5457083685
