time,close,Daily VWAP,Weekly VWAP,Monthly VWAP,Down Fractal,Up Fractal,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
01/08/1991,136.6,NaN,NaN,NaN,0,0,NaN,99.86661693,99.80568897,NaN,NaN,NaN,NaN
01/09/1991,137.2,NaN,NaN,NaN,0,0,NaN,99.8791256,99.820053,NaN,NaN,NaN,NaN
01/10/1991,137.4,NaN,NaN,NaN,0,0,NaN,99.88306227,99.83101584,NaN,NaN,NaN,NaN
01/11/1991,137.8,NaN,NaN,NaN,0,0,NaN,99.89072741,99.83988979,NaN,NaN,NaN,NaN
01/12/1991,137.9,NaN,NaN,NaN,0,0,NaN,99.89262238,99.84728828,NaN,NaN,NaN,NaN
01/01/1992,138.1,NaN,NaN,NaN,0,0,NaN,99.89648868,99.85439729,NaN,NaN,NaN,NaN
01/02/1992,138.6,NaN,NaN,NaN,0,0,NaN,99.90563636,99.8621597,NaN,NaN,NaN,NaN
01/03/1992,139.3,NaN,NaN,NaN,0,0,NaN,99.91673113,99.86920604,NaN,NaN,NaN,NaN
01/04/1992,139.5,NaN,NaN,NaN,0,0,NaN,99.91963836,99.87610606,NaN,NaN,NaN,NaN
01/05/1992,139.7,NaN,NaN,NaN,0,0,NaN,99.92255042,99.88285382,NaN,NaN,NaN,NaN
01/06/1992,140.2,NaN,NaN,NaN,0,0,NaN,99.92943482,99.88972762,NaN,NaN,NaN,NaN
01/07/1992,140.5,NaN,NaN,NaN,0,0,NaN,99.93326765,99.89615707,NaN,NaN,NaN,NaN
01/08/1992,140.9,NaN,NaN,NaN,0,0,NaN,99.93809572,99.90224893,NaN,NaN,NaN,NaN
01/09/1992,141.3,NaN,NaN,NaN,0,0,NaN,99.94257036,99.90832629,NaN,NaN,NaN,NaN
01/10/1992,141.8,NaN,NaN,NaN,0,0,NaN,99.94766297,99.9141153,NaN,NaN,NaN,NaN
01/11/1992,142,NaN,NaN,NaN,0,0,NaN,99.94958863,99.91914837,NaN,NaN,99.94958863,NaN
01/12/1992,141.9,NaN,NaN,NaN,0,0,NaN,98.00787763,99.78520661,98.00787763,NaN,NaN,NaN
01/01/1993,142.6,NaN,NaN,NaN,0,0,NaN,98.26235408,99.66889423,NaN,NaN,NaN,NaN
01/02/1993,143.1,NaN,NaN,NaN,0,0,NaN,98.4178229,99.56355141,NaN,NaN,NaN,NaN
01/03/1993,143.6,NaN,NaN,NaN,0,0,NaN,98.55687299,99.46786457,NaN,NaN,NaN,NaN
01/04/1993,144,NaN,NaN,NaN,0,0,NaN,98.6584505,99.37877987,NaN,NaN,NaN,NaN
01/05/1993,144.2,NaN,NaN,NaN,0,0,NaN,98.7074395,99.2924019,NaN,NaN,NaN,NaN
01/06/1993,144.4,NaN,NaN,NaN,0,0,NaN,98.75634703,99.20930966,NaN,NaN,NaN,NaN
01/07/1993,144.4,NaN,NaN,NaN,0,0,NaN,98.75634703,99.12600942,NaN,NaN,NaN,NaN
01/08/1993,144.8,NaN,NaN,NaN,0,0,NaN,98.85669027,99.04938481,NaN,NaN,NaN,NaN
01/09/1993,145.1,NaN,NaN,NaN,0,0,NaN,98.92663913,98.97748277,NaN,NaN,NaN,NaN
01/10/1993,145.7,NaN,NaN,NaN,0,0,NaN,99.05161244,98.91416253,NaN,NaN,NaN,NaN
01/11/1993,145.8,NaN,NaN,NaN,0,0,NaN,99.07102614,98.85190937,NaN,NaN,NaN,NaN
01/12/1993,145.8,NaN,NaN,NaN,0,0,NaN,99.07102614,98.78929246,NaN,NaN,NaN,NaN
01/01/1994,146.2,NaN,NaN,NaN,0,0,NaN,99.15159296,98.73229277,NaN,NaN,NaN,NaN
01/02/1994,146.7,NaN,NaN,NaN,0,0,NaN,99.24028746,98.82032204,NaN,NaN,NaN,NaN
01/03/1994,147.2,NaN,NaN,NaN,0,0,NaN,99.31716395,98.8956656,NaN,NaN,NaN,NaN
01/04/1994,147.4,NaN,NaN,NaN,0,0,NaN,99.34568565,98.96194151,NaN,NaN,NaN,NaN
01/05/1994,147.5,NaN,NaN,NaN,0,0,NaN,99.36007829,99.01931332,NaN,NaN,NaN,NaN
01/06/1994,148,NaN,NaN,NaN,0,0,NaN,99.42784584,99.07427013,NaN,NaN,NaN,NaN
01/07/1994,148.4,NaN,NaN,NaN,0,0,NaN,99.47568281,99.12914465,NaN,NaN,NaN,NaN
01/08/1994,149,NaN,NaN,NaN,0,0,NaN,99.53807093,99.18498207,NaN,NaN,NaN,NaN
01/09/1994,149.4,NaN,NaN,NaN,0,0,NaN,99.57442687,99.24341635,NaN,NaN,NaN,NaN
01/10/1994,149.5,NaN,NaN,NaN,0,0,NaN,99.58325752,99.29531401,NaN,NaN,NaN,NaN
01/11/1994,149.7,NaN,NaN,NaN,0,0,NaN,99.60108592,99.34348878,NaN,NaN,NaN,NaN
01/12/1994,149.7,NaN,NaN,NaN,0,0,NaN,99.60108592,99.38273689,NaN,NaN,NaN,NaN
01/01/1995,150.3,NaN,NaN,NaN,0,0,NaN,99.65276956,99.42428999,NaN,NaN,NaN,NaN
01/02/1995,150.9,NaN,NaN,NaN,0,0,NaN,99.69528547,99.46887994,NaN,NaN,NaN,NaN
01/03/1995,151.4,NaN,NaN,NaN,0,0,NaN,99.72545389,99.50987001,NaN,NaN,NaN,NaN
01/04/1995,151.9,NaN,NaN,NaN,0,0,NaN,99.75190599,99.54641419,NaN,NaN,NaN,NaN
01/05/1995,152.2,NaN,NaN,NaN,0,0,NaN,99.76644611,99.57850577,NaN,NaN,NaN,NaN
01/06/1995,152.5,NaN,NaN,NaN,0,0,NaN,99.78031185,99.6095505,NaN,NaN,NaN,NaN
01/07/1995,152.5,NaN,NaN,NaN,0,0,NaN,99.78031185,99.63956718,NaN,NaN,NaN,NaN
01/08/1995,152.9,NaN,NaN,NaN,0,0,NaN,99.79878436,99.66606279,NaN,NaN,NaN,NaN
01/09/1995,153.2,NaN,NaN,NaN,0,0,NaN,99.81158083,99.69005551,NaN,NaN,NaN,NaN
01/10/1995,153.7,NaN,NaN,NaN,1,0,NaN,99.83088472,99.71097078,NaN,NaN,99.83088472,99.83088472
01/11/1995,153.6,NaN,NaN,NaN,0,0,NaN,97.67552336,99.57533481,NaN,NaN,NaN,NaN
01/12/1995,153.5,NaN,NaN,NaN,0,1,NaN,95.45608308,99.28053664,95.45608308,NaN,NaN,NaN
01/01/1996,154.4,NaN,NaN,NaN,0,0,NaN,96.27619302,99.04304429,NaN,NaN,NaN,NaN
01/02/1996,154.9,NaN,NaN,NaN,0,0,NaN,96.63911066,98.83147463,NaN,NaN,NaN,NaN
01/03/1996,155.7,NaN,NaN,NaN,0,0,NaN,97.12235121,98.65073046,NaN,NaN,NaN,NaN
01/04/1996,156.3,NaN,NaN,NaN,0,0,NaN,97.42176859,98.4883364,NaN,NaN,NaN,NaN
01/05/1996,156.6,NaN,NaN,NaN,0,0,NaN,97.55855437,98.33355786,NaN,NaN,NaN,NaN
01/06/1996,156.7,NaN,NaN,NaN,0,0,NaN,97.60418287,98.18014906,NaN,NaN,NaN,NaN
01/07/1996,157,NaN,NaN,NaN,0,0,NaN,97.7406057,98.03544618,NaN,NaN,NaN,NaN
01/08/1996,157.3,NaN,NaN,NaN,0,0,NaN,97.87115148,97.89907758,NaN,NaN,NaN,NaN
01/09/1996,157.8,NaN,NaN,NaN,0,0,NaN,98.07118169,97.77699685,NaN,NaN,NaN,NaN
01/10/1996,158.3,NaN,NaN,NaN,0,0,NaN,98.24842291,97.66625675,NaN,NaN,NaN,NaN
01/11/1996,158.6,NaN,NaN,NaN,0,0,NaN,98.34659512,97.56161491,NaN,NaN,NaN,NaN
01/12/1996,158.6,NaN,NaN,NaN,0,0,NaN,98.34659512,97.45559423,NaN,NaN,NaN,NaN
01/01/1997,159.1,NaN,NaN,NaN,0,0,NaN,98.50821128,97.51507194,NaN,NaN,NaN,NaN
01/02/1997,159.6,NaN,NaN,NaN,0,0,NaN,98.65029049,97.74322961,NaN,NaN,NaN,NaN
01/03/1997,160,NaN,NaN,NaN,0,0,NaN,98.75264085,97.92011874,NaN,NaN,NaN,NaN
01/04/1997,160.2,NaN,NaN,NaN,0,0,NaN,98.80157528,98.0745805,NaN,NaN,98.80157528,98.80157528
01/05/1997,160.1,NaN,NaN,NaN,0,0,NaN,96.75765919,98.04853107,96.75765919,NaN,NaN,NaN
01/06/1997,160.3,NaN,NaN,NaN,0,0,NaN,96.89596502,98.01097367,NaN,NaN,NaN,NaN
01/07/1997,160.5,NaN,NaN,NaN,0,0,NaN,97.03229375,97.97338363,NaN,NaN,NaN,NaN
01/08/1997,160.8,NaN,NaN,NaN,0,0,NaN,97.22889646,97.94657745,NaN,NaN,NaN,NaN
01/09/1997,161.2,NaN,NaN,NaN,0,0,NaN,97.46959935,97.92721986,NaN,NaN,NaN,NaN
01/10/1997,161.6,NaN,NaN,NaN,1,0,NaN,97.68605379,97.91399859,NaN,NaN,97.68605379,97.68605379
01/11/1997,161.5,NaN,NaN,NaN,0,0,NaN,95.48694908,97.72941055,NaN,NaN,NaN,NaN
01/12/1997,161.3,NaN,NaN,NaN,0,1,NaN,91.07115448,97.21674852,91.07115448,NaN,NaN,NaN
01/01/1998,161.6,NaN,NaN,NaN,0,0,NaN,91.69180546,96.7414064,NaN,NaN,NaN,NaN
01/02/1998,161.9,NaN,NaN,NaN,0,0,NaN,92.27042418,96.30739419,NaN,NaN,NaN,NaN
01/03/1998,162.2,NaN,NaN,NaN,0,0,NaN,92.80970759,95.90035821,NaN,NaN,NaN,NaN
01/04/1998,162.5,NaN,NaN,NaN,0,0,NaN,93.31219984,95.51906602,NaN,NaN,NaN,NaN
01/05/1998,162.8,NaN,NaN,NaN,0,0,NaN,93.78029815,95.16389869,NaN,NaN,NaN,NaN
01/06/1998,163,NaN,NaN,NaN,0,0,NaN,94.07789172,94.82649272,NaN,NaN,NaN,NaN
01/07/1998,163.2,NaN,NaN,NaN,0,0,NaN,94.3680897,94.65580918,NaN,NaN,NaN,NaN
01/08/1998,163.4,NaN,NaN,NaN,0,0,NaN,94.65039835,94.49541156,NaN,NaN,NaN,NaN
01/09/1998,163.6,NaN,NaN,NaN,0,0,NaN,94.92439242,94.34484718,NaN,NaN,NaN,NaN
